pool_id,resource
1842,116
776,89
5020,84
1501,84
954,84
1797,84
5040,83
3085,81
4453,81
2130,81
4990,79
6868,78
468,77
122,77
1765,76
396,76
1529,75
301,75
5053,75
2754,75
6098,74
5019,74
5431,73
5023,72
6869,72
5021,72
1632,72
92,72
5024,71
5038,71
1220,71
115,70
357,70
161,70
568,70
6775,70
1811,69
1867,69
207,69
5031,69
1925,69
5027,68
6914,68
2338,67
6525,67
5022,66
531,66
1747,66
4000,65
4452,65
1,65
276,64
6915,64
1767,64
744,64
52,64
2006,64
5005,63
6903,63
1455,63
6917,63
54,62
156,62
1695,62
1684,62
6514,62
216,62
1513,62
334,61
2659,61
698,61
360,61
5069,61
1256,60
741,60
629,60
4932,60
19,60
226,60
974,60
202,60
1652,60
1826,60
1246,60
187,59
6870,59
97,59
710,59
2362,59
4489,59
6,59
1641,59
3196,59
2247,59
212,59
1708,58
1874,58
89,58
372,58
3094,58
3853,57
999,57
6904,57
1044,57
312,57
2158,57
2444,57
6916,56
701,56
4920,56
5039,56
5035,56
6774,56
6083,56
1550,56
5028,55
2783,55
1161,54
1649,54
913,54
101,54
116,54
5026,53
5032,53
2351,53
5025,53
721,53
65,53
6773,52
6431,52
6042,52
2131,52
890,52
4451,52
4483,52
5054,52
821,51
5563,51
381,51
2755,51
57,51
5014,50
2455,50
1296,50
1245,50
6930,50
2864,50
350,50
182,50
158,50
1974,50
15,49
2617,49
1740,49
303,49
1630,49
3852,49
5033,48
2174,48
5018,48
3507,48
3626,48
186,47
700,47
5037,47
83,47
4850,47
6776,47
1766,47
332,47
2481,46
1627,46
4748,46
5752,46
1631,46
1392,46
2391,46
211,45
5057,44
74,44
2476,44
727,44
5854,44
4628,44
1540,44
1859,44
522,44
3465,43
975,43
483,43
133,42
1541,42
3759,42
2759,42
199,42
71,41
1881,41
2919,41
5271,41
2702,40
431,40
179,40
3356,40
4627,40
11,39
3625,39
274,39
1571,39
1700,39
249,39
2629,39
1982,39
914,38
2535,38
67,38
5098,38
5217,38
5029,38
1208,38
814,37
2472,37
5055,37
5700,37
6096,37
4251,37
806,37
142,37
3257,36
3623,36
1414,36
3242,36
2101,36
766,35
1651,35
1530,35
5036,35
1361,35
4006,35
234,34
3201,34
1624,34
5142,34
1903,34
1688,34
188,33
231,33
2580,33
363,33
608,33
2218,33
2477,32
270,32
4644,32
815,32
2756,32
112,32
5034,32
2100,32
5030,32
1543,32
2105,31
808,31
51,31
5141,31
399,31
81,31
1085,31
986,31
1252,31
802,31
3169,30
94,30
1629,30
2106,30
981,30
1487,30
1382,30
801,30
37,29
509,29
1552,29
2099,29
