pool_id,resource
5055,79790603033051
4489,69231185494509
3094,69167295464726
821,69114274608420
4989,68920694091434
4990,68912511768855
1867,68796674877591
1859,68756715243158
360,68619764231173
4483,68245704055897
4452,68242144901639
3196,68236724159524
4451,68215971789868
4453,68207796732520
4450,68102036216622
1684,68069602983870
1361,67956317248075
1695,67934145494183
4941,67709150911411
4940,67546270796716
468,67104872066726
3282,67100540249866
3283,66991439514897
3281,66961410925655
3395,66949040448478
3397,66901952262975
3398,66893661591842
3396,66890004309416
1649,66775797188889
1926,66746732632291
3399,66675497962525
6,66643986669254
3280,66459969418267
4628,66412222456953
401,65802360550288
274,65757088785335
156,65701748461863
5057,65651605704681
1740,65642391878922
3514,65620276637314
2024,65546378610489
1455,65538533911898
3515,65492277431886
2006,65129581520466
1245,65000962107973
3853,65000026557959
1246,65000004590510
3852,64997328536408
57,64848450988870
158,64424686128541
1857,64401581452483
1820,64400449956693
1816,64395298122040
2615,64394554827251
2030,64391917339021
2592,64391860416611
2022,64388808505070
2025,64388798527018
1813,64388283095348
1811,64387363182265
2598,64386644926443
2029,64385700040815
2601,64383089220661
2602,64382541177042
2028,64376922816620
2589,64376822347976
1819,64372842222507
1814,64372407611172
2027,64372359760982
1812,64371765091099
1808,64370391911663
2603,64369584639860
2021,64369525680414
2596,64368614030051
2590,64366481679006
2033,64365278923170
2023,64364773101879
2034,64364658407434
1821,64362406714051
3626,64361878137720
2032,64357429729269
1818,64354969417054
2600,64354788835022
2595,64352870135885
2026,64352588384991
1817,64352194574567
2031,64350219551441
2597,64349201104444
2599,64348602147308
1827,64347150616860
2591,64334724173753
1767,64328594406327
1765,64328594406327
1766,64328594406327
5054,64152601468701
5018,64036735021917
5033,64034788415888
5014,64034183046648
5053,64031156200452
5040,64029340092734
5039,64029340092734
5019,64027523985014
5027,63985522519207
5025,63983221533703
5034,63966591800515
5026,63937916516436
5021,63915875901921
5029,63826593782884
5028,63825354842268
5030,63804424390382
2481,63697009740498
5022,63628204627844
5032,63568854610154
2759,63548154368750
5024,63537570684009
5020,63124688209200
1651,63100159569180
5037,62983163081683
5036,62898181769610
5031,62893649399979
1652,62826992887476
2338,62407318393751
381,62359606476439
5038,62031758381855
334,61793847370038
1529,61763664572218
356,61542751555072
1641,61471314564151
115,61186001913343
1925,61136208948580
1826,61045072757004
301,60634605833930
1815,60574166551448
4942,60453112923685
741,60295009921164
4324,60105035582637
50,59933745980543
19,59773455678528
975,59498962434167
5056,59281768850491
522,59211902671085
1797,59202764803634
2362,59161476635354
1161,59103871090980
3085,59025980092146
1629,58735894166706
776,58729461914556
954,58505573162676
1627,58091118943738
2060,58000863176092
1874,57495562419471
5186,57328087141376
5023,57194949327793
1628,57126902191647
372,57041735992295
202,56974365226081
216,56731660028501
350,56469953854806
173,56424393236006
4006,56284093611318
981,56107989472872
1732,55726403637153
1392,55442176262958
744,55344420347832
999,55302353690122
806,55253325969150
1842,55161353526379
133,55026192093188
2757,54997043804358
2758,54973824078235
2756,54940835353988
2755,54746072619772
721,54623201278934
89,54513006618140
4007,54418261705128
913,54325060581892
5035,54315005852282
710,53719898627194
1296,53434216359989
276,53290199122684
808,53231867965625
531,53075423345832
207,52939558847006
2617,52863060215837
727,52755169364248
52,52628377510280
1747,52535320901517
2158,52487097763319
3625,51977250132207
3155,51566869068914
1571,51015281189445
5142,51001633389359
5141,50769807905859
5140,50621858862690
1664,50402756705026
974,50218055589250
1662,50166953498217
1660,50165274936376
1663,50165084080017
1661,50153526987683
2444,49892451750043
332,49883651240139
187,49862835384036
1632,49750159086653
2168,49428258186821
698,49395279175336
483,49011574353147
226,48841335975510
4991,48433034389824
174,48302798398396
2266,48099625885837
211,48018339155207
92,47926420726506
4661,47715010849255
2351,47681985420415
1630,47596092930064
15,47586258606877
3644,47261462730005
303,46996402447227
5189,46864963205827
700,46730348262587
254,46601445106258
4283,46497421089391
5184,46495123436265
5188,46428079986402
1501,46146091168867
2455,45997993394800
97,45792090922530
142,45683632201288
5069,45458950051886
101,45273867666233
2476,45104772422360
5046,45100007300619
54,44883511484789
1513,44769841155081
4862,44718181676217
4662,44701531228094
396,44498709028982
1865,44468326538621
568,44291023287478
1530,44246327700065
2580,44214769335436
3356,44130778511663
1631,43833127972241
801,43351327959982
5185,43308491642134
182,43223790789742
1470,42611532084471
65,42542296364754
1541,42297553895360
312,42220098346379
1550,42128697879789
2477,42123908270457
4819,42022540865521
701,41973670200805
2174,41832962215587
3201,41679411869281
432,41449766950323
1974,41406559465196
914,41016871938486
302,40775275584345
1540,40758826355254
1700,40671757107417
167,40579761693971
4325,40191072755328
740,39698467842542
1208,39663378489764
3106,39573801677110
71,39540105479051
270,39465456044968
1487,39257094723807
102,39168492618776
122,38955115546646
249,38719989087160
4712,38565535590162
1708,38505062456055
1,38201777436603
81,37277051518610
2783,37274716726581
44,37264908018976
766,37210145990661
3676,37184469806355
1414,37184434886280
1466,37072075631184
179,36940132618666
959,36833346579727
608,36630187872952
215,36499763999518
431,36431143161253
161,36269530214834
112,35975851221432
1903,35975232230182
890,35866192742239
4000,35767753868395
159,35700783731676
2629,35699211317848
74,35623750047151
73,35218375111883
176,35164866170854
1942,35111922131056
67,35102855631955
1688,35085314147647
212,34495845197694
814,34466221168712
2020,34461791382513
3507,34404410130125
1604,34203024340877
1886,34122336017913
4644,34069194842635
116,33936429546272
1486,33884429820970
231,33492660052210
2472,33426208833682
3257,33061839780365
509,32917408181553
1726,32917208122393
2750,32733351323778
186,32660791543187
399,32576970237058
1543,32392453054388
1601,32319844830943
4627,32300335173673
3623,32204628068607
2105,32048445953674
1968,32046826348284
2101,32043972229673
2100,32042704657320
2099,32040553096889
2113,32039535372003
2102,32036959545453
2111,32036330311714
2109,32036329403573
2116,32035692145253
2115,32035114404361
2114,32030601452112
2106,32028046355056
1982,31988149604212
2391,31945388369743
528,31858731481928
1881,31855275472169
11,31726901907042
4820,31725413182968
289,31723365980516
1484,31537991666704
802,31503458716444
1717,31331793161206
1603,31323026039795
1624,31237431303809
22,31090488491361
83,30936862495056
188,30144030888367
1382,29997547693124
1085,29782653758162
3587,29779107926042
1600,29526715915662
248,29321416062845
1252,29270244919595
3553,29040158133158
1495,28889239539720
51,28682485592115
93,28664617381431
2313,28581592047872
2702,28521082066440
4647,28473883858084
561,28249542462635
445,28070654277373
2743,28007226379129
4673,27785385294576
983,27618973353518
271,27573734712519
1510,27541393323448
1691,27338403156931
1666,27207873521690
1519,27156467703752
1387,27154946240142
75,27126932470208
1829,27039332008019
109,26864814475493
2864,26782990903246
1454,26576657659433
316,26533978175552
3974,26094381140496
4260,25906653464983
1044,25844043969391
1176,25384694197558
30,25262773362410
1658,25239998699791
2502,25230843803493
7,25208660025659
4251,25159774646932
4974,25108625454302
363,24897522095258
94,24628649461459
465,24508011680159
37,24410264764430
106,24362362692421
765,24260949540450
98,24157735602081
1709,24132285730476
4571,23978316321058
1347,23905648861701
815,23903571839280
148,23729988112160
2343,23647571573097
4312,23469841331166
2086,23447312792025
150,23429315784800
4285,23381808907396
91,23268586574621
467,23251933481452
9,23037492804112
123,22835742822410
958,22562296994869
25,22498821769818
4122,22365851351972
1613,22364723408025
4959,22344393104351
499,22320085160994
932,22116875660789
1623,22057752964139
1417,21981067993966
1987,21767742192645
771,21660509803598
4928,21639273007111
1241,21585400921895
4731,21577384886475
3693,21529105267611
2659,21523140188070
1637,21353354240912
3242,21323096108915
205,21275215723976
2148,21245916916306
100,21118771425801
2839,21070284377413
99,21027168544096
230,21015517880869
493,20937668099505
46,20834220482466
1693,20794080032025
1728,20659276531467
2131,20405743718187
2247,20099363171386
1650,19934868158462
275,19919658853947
3524,19866858714863
1870,19848255975433
329,19714380765983
986,19608507778965
110,19482256751996
209,19425122664249
3169,19417386919257
4728,19387463667345
234,19340291739101
1689,19329886362791
3759,19186434056193
40,19161017026144
2155,18963713298973
82,18862002400680
237,18715240540524
84,18695970896107
714,18497631776063
2124,18399588088169
4365,18274911290794
1929,18175711561728
2218,18136189470910
1523,18127271839555
5187,18044246089746
39,18014961692751
810,17693399064468
47,17643955369162
16,17589875142582
3163,17585525405367
2087,17483338329213
260,17429276349646
279,17338346906847
1472,17308861549102
622,17289030372251
4158,17182079805677
2242,17094572816873
4387,17062061650404
1494,17060554333407
524,17008800564726
4206,16943676033553
5005,16941090286769
256,16844028616334
2821,16739507995105
2570,16689908678219
311,16623274094223
3835,16621968027615
1425,16541271446459
1021,16493570631560
1694,16472646760634
118,16470906842369
782,16422664628243
2374,16421373181833
2804,16378767693506
4920,16377396699727
144,16326565767776
189,16263367230823
3075,16259106851814
4806,16122130109562
849,16052543497800
2071,16014968798757
1552,16013371349357
1141,15967932431920
199,15951816068330
1999,15852259049611
17,15825888190770
464,15795590766565
811,15778307520884
704,15764612771009
2422,15566606447806
3594,15534747841213
1041,15485214096455
1333,15441097130983
495,15406474000146
2549,15340459757576
4557,15331979797945
968,15331462894335
4248,15305975538105
2995,15304530137074
1737,15302564628669
4442,15243440514310
3108,15202360778455
1435,15183028133648
4742,15132842944528
4076,15082623430027
4268,15001173663463
2182,14865059894878
4323,14851600159411
145,14785623110317
4069,14756435595549
4540,14752302206486
1186,14670486445296
21,14579378866690
168,14551632633536
2048,14503223729678
1256,14307203254744
124,14275510063211
1536,14064044788401
629,14045496805626
1561,14020653158644
4765,13953817647997
3971,13907979710522
227,13877247061806
1646,13873337268550
1822,13862808295703
393,13675923983617
261,13523701781810
1847,13220653248111
2754,13136295816939
1343,13115502613922
1546,13112190034635
1553,13107098854402
2241,13000361665285
138,12965115218616
596,12906268615497
3324,12765163872007
4632,12742257885817
2278,12505249072009
1220,12489856662435
4998,12488219173129
10,12393653980437
1196,12344482501779
1588,12243994954718
1522,12014886422989
2763,12011540647197
819,11940565697835
1745,11835092330713
1471,11815894510975
418,11700630106733
3872,11480473892416
804,11428607341082
697,11256967789541
3827,10860153267755
2677,10837886531397
778,10836817876497
4790,10788819590020
108,10674021673326
576,10662468683338
126,10592528056472
139,10583190889024
4094,10521424901204
2775,10371397271223
355,10307961650393
4608,10235550334529
2744,10172852114709
3095,10113837303065
4657,10071189984134
3913,10014852024680
105,9988118161607
2130,9939799810037
1075,9926397268874
2210,9907349620789
2746,9871905178576
170,9865944290230
1363,9647518522480
711,9641720122362
5045,9589332769392
4262,9528519844972
2138,9267625243702
2047,9264064731826
2088,9248881550397
3668,9154034992181
2877,9016020609216
339,8997195721555
897,8914908847475
1214,8904710557318
4921,8865017880439
3102,8834970857337
1520,8810044807622
4927,8782363078428
3992,8750919464109
253,8533561471193
5095,8497844184578
333,8436097887362
4244,8423232244739
220,8348011691293
4400,8314834348099
3121,8302233562779
4306,8299076405416
196,8237237815323
4522,8173621923757
132,8156729443731
1750,8122987113736
4343,8122275372042
1876,8114359529895
242,8091357211194
3294,8007098104283
3240,7971231396823
1801,7858969613803
206,7833230410646
530,7782566378651
299,7663075553759
96,7635824405633
2988,7629354817962
3426,7628696330984
258,7622137368336
4537,7552038467379
3973,7537470923713
357,7399779868720
1077,7265038714383
1512,7167461104115
60,7117862499608
1525,7050053496627
1105,6986008231974
3317,6979650888164
3339,6972654823264
1212,6946439782742
719,6912673834789
310,6876781425444
346,6792003622166
1657,6765871011219
2635,6693441971357
411,6679882730426
27,6672776450916
3899,6655383624175
1395,6650471479064
1275,6630943553572
2044,6626636985864
1492,6613400677471
4804,6609844550145
451,6600476475546
1227,6522664809084
374,6510962856256
455,6492738190777
3179,6429513087223
