homepage,amount
binance.com,2580594068405169
wavepool.digital,711286427499975
moonstake.io,537748550453218
etoro.com,529058485062068
everstake.one/cardano,455630613731534
nu.fi,400301329747886
1percentpool.eu,376673782021133
blockdaemon.com,354680214199549
garden-pool.com,269543166733895
swimmingpoolop.github.io/pools,268478905293067
nordicpool.org,266954655659685
iohk.io,255801604969551
kiln.fi,235029732490088
adaocean.com,224515140486990
cardano.securestaking.io,211607174338552
digitalfortress.online,201944030024992
raynetwork.io,200037643963850
youtube.com/cryptocapitalventure,199970520411387
adavault.com,196841384241892
bloompool.io,192488145243330
cardanians.io,179446328511016
coinzzz.jp,169142247291566
staking-fm.site,166267768499666
stakepoolservice.com,162538617819516
cardanode.io,159841796675136
nedscave.io,138222385792100
stakepool.at,137311520517641
onyxstakepool.com,134508010078286
sipo.tokyo,131073960186226
bluecheesestakehouse.com,129855452448848
hodlada.today,127581776091310
azureada.com,127100034250566
tokyostaker.com,126349664304607
stakecool.io,125141850167969
atomicwallet.io,120716291076111
emurgo.io,117847501747193
youtube.com/channel/UCRvqjQPSeaWn-uEx-w0XOIg,113985660645654
git.io/JItdr,107107222350567
xstakepool.com,104710235427594
cardanoland.com,100673124304542
bitpoint.co.jp,99912594322435
aichi-stakepool.com,99055612845442
kiwipool.org,88862741884457
sunnyada.io,88412488146786
adapilot.com,88155890033570
goatstake.com,87922300944575
stakit.io,87831383781490
cardanowithpaul.com,87698213846492
katanapool.com,86848713149310
newm.io,84168006076123
autostake.net,83864946285582
popool.net,83741840630784
celsius.network,83616813119266
titanstaking.io,78991153066564
polypool.io,71766085795744
adalovelacepool.com,70690890917268
pool_id_6514,70674062380254
pool_id_6525,70668385654103
pool_id_5491,70636891735751
ccj123.html.xdomain.jp,70510595948053
bravostakepool.nl,70180699613259
pool_id_3282,69427326300029
pool_id_3283,69270449529152
pool_id_3281,69160522479506
pool_id_3395,69102139911798
pool_id_5038,69030794352467
pool_id_5025,68981986171484
pool_id_5054,68963509545406
pool_id_5027,68910644209288
pool_id_5022,68868640274835
pool_id_5019,68867992379775
pool_id_5026,68838946388137
pool_id_3280,68669683749948
spirestaking.com,68614194696927
pool_id_5028,68536857726952
pool_id_5030,68532668684283
pool_id_5040,68503119659629
cardanocult.com,68487855301008
bladepool.com,68293376474566
pool_id_5031,68292284131000
pool_id_5053,67884280638459
pool_id_5029,67744954998561
pool_id_5032,67699002498508
pool_id_5020,66651043862614
cardanocafe.org,66332605371385
pool_id_5039,66331334439833
angelstakepool.net,65757565069825
staking.cardanofun.com,65638465420252
str8pool.com,65042841011061
pool_id_5023,65034320095496
krypto-knight.us,64758114524192
pool_id_5034,64712900672768
nodeasy.com,64195617423603
octaluso.dyndns.org,64145418092554
pool_id_5033,64036253537110
pool_id_5035,64034232048213
pool_id_5018,64018705487940
OasisPool.io,63903617523922
steakandbake.github.io/ada,63608562281639
pool_id_5014,63552073953037
staking4ADA.org,63533807470568
adastat.net,63103433058080
pool_id_5037,62819329880720
zetetic.tech,62270787374835
minswap.org,62245309515984
pool_id_4850,61403118093762
pool_id_6098,61246973469401
twitter.com/9DDPk57qMpPeRX0?t=pAfWPMKByGAlGFFGVsI-mQ&s=06,60936772124317
twitter.com/Beastlyorion,60584857436407
pool_id_5854,60568376322393
mine-ada.com,60059963338364
fairpool.eu,59973625900903
cardanode.com.au,59778534189966
wafflepool.org,59232113901750
atlasstakepool.com,58358987165344
viperstaking.com/ada-pools/viper-pool,56374596994778
stake.fish,55796885378898
staking.outofbits.com,55057103015094
pool_id_5005,54831692370617
cerostakepool.com,54796498352141
endeavorstakepools.com,54333267936918
p2p.org,54117804988381
stakebowl.io,53000052128341
pxlz.org,51534854118978
mokshpool.org,50959717622911
pool_id_5187,50718201137331
pool_id_5185,50353175968004
pool_id_5186,50341787249382
pool_id_5189,50327044228093
pool_id_5184,50316991983862
pool_id_5188,50308993419506
pool_id_1540,49808158770087
hermes-stakepool.com,49698529052187
pool_id_6096,49437034945715
ada4good.com,49367657456948
kaizencrypto.com,48956826465417
publickey.co.jp,48631511222984
luganodes.com,48171705600237
danteachescrypto.com/cardano-staking-pool,47901264281850
kopipool.com,47685164167372
everstake.one,47000459355050
pipool.online,46203687497636
crown-tech.co.jp/ctecstakepool,45472455186221
pool_id_5217,44935387796364
ecopool.io,44900474843140
pool_id_5057,44113055573673
pool_id_5215,44028610456290
coffeepool.jp,44019706555159
yoroi-wallet.com,43596494138726
cardano.ipclub29.com,43343635242384
pool_id_5036,43074153869513
