epoch,naka_3
300,35
301,35
302,36
303,36
304,35
305,34
306,33
307,32
308,32
309,31
310,32
311,32
312,32
313,32
314,32
315,31
316,30
317,29
318,28
319,29
320,31
321,33
322,35
323,36
324,35
325,34
326,35
327,36
328,37
329,40
330,40
331,41
332,42
333,42
334,42
335,42
336,42
337,42
338,42
339,42
340,41
341,41
342,42
343,42
344,40
345,39
346,39
347,40
348,43
349,45
350,44
351,44
352,44
353,45
354,45
355,45
356,46
357,46
358,46
359,47
360,46
361,46
362,46
363,45
364,46
365,46
366,46
367,46
368,45
369,45
370,46
371,46
372,46
373,46
374,45
375,45
376,45
377,45
378,46
379,46
380,47
381,46
382,47
383,47
384,48
385,49
386,48
387,49
388,49
389,49
390,50
391,50
392,49
393,49
394,48
395,48
396,49
397,50
398,51
399,52
400,52
401,52
402,51
403,51
404,51
405,50
406,52
407,52
408,55
409,56
410,57
411,59
412,60
413,60
414,60
415,58
416,58
417,58
418,58
419,58
