epoch,naka_10
300,35
301,34
302,34
303,33
304,33
305,32
306,32
307,32
308,32
309,31
310,31
311,31
312,31
313,31
314,32
315,32
316,32
317,32
318,33
319,34
320,34
321,35
322,36
323,38
324,38
325,38
326,39
327,39
328,40
329,41
330,42
331,42
332,42
333,42
334,42
335,42
336,42
337,41
338,41
339,41
340,41
341,41
342,42
343,42
344,42
345,42
346,43
347,43
348,44
349,45
350,45
351,45
352,45
353,45
354,46
355,46
356,46
357,46
358,46
359,46
360,46
361,46
362,46
363,46
364,46
365,46
366,46
367,46
368,46
369,45
370,46
371,46
372,46
373,46
374,46
375,46
376,46
377,47
378,47
379,47
380,48
381,48
382,49
383,49
384,49
385,49
386,49
387,49
388,49
389,49
390,50
391,51
392,51
393,51
394,51
395,51
396,51
397,51
398,51
399,51
400,52
401,53
402,53
403,54
404,54
405,56
406,57
407,58
408,58
409,59
410,59
411,59
412,59
413,59
414,59
415,59
416,59
417,59
418,59
419,59
