epoch,hhi_3
300,221
301,222
302,222
303,223
304,226
305,227
306,227
307,222
308,223
309,224
310,224
311,224
312,224
313,228
314,222
315,215
316,220
317,220
318,220
319,222
320,221
321,208
322,206
323,206
324,212
325,216
326,215
327,213
328,213
329,211
330,211
331,211
332,211
333,211
334,211
335,211
336,188
337,187
338,187
339,187
340,187
341,187
342,187
343,182
344,182
345,182
346,183
347,183
348,183
349,182
350,182
351,181
352,181
353,181
354,181
355,182
356,182
357,183
358,183
359,182
360,182
361,183
362,183
363,184
364,184
365,182
366,187
367,187
368,186
369,186
370,186
371,186
372,186
373,186
374,186
375,186
376,185
377,185
378,185
379,186
380,186
381,185
382,180
383,180
384,179
385,179
386,177
387,177
388,177
389,177
390,177
391,177
392,178
393,178
394,183
395,178
396,177
397,179
398,178
399,178
400,156
401,156
402,157
403,157
404,143
405,143
406,126
407,111
408,98
409,98
410,87
411,79
412,72
413,71
414,70
415,73
416,80
417,80
418,80
419,80
