time,hhi
2021-11-06 21:44:35,221
2021-11-11 21:44:15,221
2021-11-16 21:44:14,222
2021-11-21 21:44:23,222
2021-11-26 21:43:39,222
2021-12-01 21:44:40,224
2021-12-06 21:44:50,226
2021-12-11 21:43:57,226
2021-12-16 21:43:58,219
2021-12-21 21:44:45,222
2021-12-26 21:44:36,223
2021-12-31 21:44:46,224
2022-01-05 21:44:40,224
2022-01-10 21:44:33,232
2022-01-15 21:44:03,227
2022-01-20 21:44:38,228
2022-01-25 21:44:50,229
2022-01-30 21:44:31,218
2022-02-04 21:44:26,219
2022-02-09 21:44:03,220
2022-02-14 21:44:31,226
2022-02-19 21:44:23,227
2022-02-24 21:44:29,227
2022-03-01 21:44:42,205
2022-03-06 21:44:45,205
2022-03-11 21:44:47,207
2022-03-16 21:44:08,216
2022-03-21 21:44:10,223
2022-03-26 21:43:35,223
2022-03-31 21:44:35,213
2022-04-05 21:44:35,212
2022-04-10 21:44:42,212
2022-04-15 21:44:42,212
2022-04-20 21:44:48,211
2022-04-25 21:44:50,211
2022-04-30 21:44:36,211
2022-05-05 21:44:43,211
2022-05-10 21:44:32,211
2022-05-15 21:44:36,188
2022-05-20 21:43:05,187
2022-05-25 21:44:42,187
2022-05-30 21:44:47,187
2022-06-04 21:44:08,190
2022-06-09 21:44:47,190
2022-06-14 21:44:35,188
2022-06-19 21:44:39,182
2022-06-24 21:44:28,182
2022-06-29 21:44:42,183
2022-07-04 21:43:31,184
2022-07-09 21:44:45,183
2022-07-14 21:43:19,183
2022-07-19 21:42:55,183
2022-07-24 21:44:11,181
2022-07-29 21:44:03,181
2022-08-03 21:44:08,181
2022-08-08 21:44:40,181
2022-08-13 21:44:34,181
2022-08-18 21:44:40,183
2022-08-23 21:44:31,183
2022-08-28 21:42:34,182
2022-09-02 21:43:32,182
2022-09-07 21:44:17,182
2022-09-12 21:44:46,182
2022-09-17 21:43:59,182
2022-09-22 21:44:42,183
2022-09-27 21:44:27,183
2022-10-02 21:44:08,184
2022-10-07 21:43:49,183
2022-10-12 21:44:14,185
2022-10-17 21:44:25,187
2022-10-22 21:43:10,186
2022-10-27 21:43:42,186
2022-11-01 21:44:17,186
2022-11-06 21:44:20,186
2022-11-11 21:44:05,186
2022-11-16 21:44:19,185
2022-11-21 21:44:07,185
2022-11-26 21:44:27,185
2022-12-01 21:42:36,186
2022-12-06 21:43:47,186
2022-12-11 21:44:32,185
2022-12-16 21:44:03,185
2022-12-21 21:43:24,180
2022-12-21 22:00:16,180
2022-12-31 21:43:57,179
2023-01-05 21:44:42,177
2023-01-10 21:44:16,177
2023-01-10 22:00:31,179
2023-01-20 21:43:39,177
2023-01-25 21:44:33,177
2023-01-30 21:44:32,177
2023-01-30 22:00:35,176
2023-02-09 21:44:10,177
2023-02-14 21:44:42,177
2023-02-19 21:44:32,177
2023-02-24 21:44:43,183
2023-03-01 21:44:28,182
2023-03-06 21:44:06,182
2023-03-11 21:44:00,175
2023-03-16 21:44:33,183
2023-03-21 21:44:26,156
2023-03-26 21:44:03,155
2023-03-31 21:44:39,156
2023-04-05 21:44:28,156
2023-04-10 21:44:01,156
2023-04-15 21:44:23,159
2023-04-20 21:44:03,126
2023-04-25 21:43:59,126
2023-04-30 21:43:46,126
2023-05-05 21:44:08,98
2023-05-10 21:43:54,98
2023-05-15 21:44:34,87
2023-05-20 21:43:20,87
2023-05-25 21:44:21,87
2023-05-30 21:44:35,70
2023-06-04 21:44:48,66
2023-06-09 21:43:40,81
2023-06-14 21:44:01,80
2023-06-19 21:43:55,80
2023-06-24 21:44:30,80
