time,hhi_1,hhi_3,hhi_10
2021-11-06 21:44:35,221,221,224
2021-11-11 21:44:15,221,222,227
2021-11-16 21:44:14,222,222,227
2021-11-21 21:44:23,223,223,229
2021-11-26 21:43:39,223,226,228
2021-12-01 21:44:40,226,227,230
2021-12-06 21:44:50,227,227,223
2021-12-11 21:43:57,226,222,225
2021-12-16 21:43:58,222,223,226
2021-12-21 21:44:45,222,224,220
2021-12-26 21:44:36,224,224,214
2021-12-31 21:44:46,224,224,214
2022-01-05 21:44:40,224,224,216
2022-01-10 21:44:33,232,228,211
2022-01-15 21:44:03,228,222,210
2022-01-20 21:44:38,229,215,209
2022-01-25 21:44:50,216,220,210
2022-01-30 21:44:31,219,220,215
2022-02-04 21:44:26,220,220,215
2022-02-09 21:44:03,220,222,215
2022-02-14 21:44:31,227,221,212
2022-02-19 21:44:23,227,208,212
2022-02-24 21:44:29,207,206,210
2022-03-01 21:44:42,205,206,209
2022-03-06 21:44:45,206,212,212
2022-03-11 21:44:47,213,216,212
2022-03-16 21:44:08,216,215,211
2022-03-21 21:44:10,223,213,211
2022-03-26 21:43:35,213,213,211
2022-03-31 21:44:35,213,211,211
2022-04-05 21:44:35,211,211,211
2022-04-10 21:44:42,212,211,188
2022-04-15 21:44:42,211,211,187
2022-04-20 21:44:48,211,211,187
2022-04-25 21:44:50,211,211,187
2022-04-30 21:44:36,211,211,187
2022-05-05 21:44:43,211,188,187
2022-05-10 21:44:32,188,187,187
2022-05-15 21:44:36,187,187,187
2022-05-20 21:43:05,187,187,182
2022-05-25 21:44:42,187,187,182
2022-05-30 21:44:47,187,187,183
2022-06-04 21:44:08,190,187,183
2022-06-09 21:44:47,191,182,183
2022-06-14 21:44:35,182,182,183
2022-06-19 21:44:39,182,182,183
2022-06-24 21:44:28,182,183,183
2022-06-29 21:44:42,184,183,183
2022-07-04 21:43:31,184,183,183
2022-07-09 21:44:45,182,182,181
2022-07-14 21:43:19,183,182,181
2022-07-19 21:42:55,182,181,181
2022-07-24 21:44:11,181,181,182
2022-07-29 21:44:03,181,181,182
2022-08-03 21:44:08,181,181,182
2022-08-08 21:44:40,181,182,183
2022-08-13 21:44:34,182,182,183
2022-08-18 21:44:40,183,183,184
2022-08-23 21:44:31,183,183,184
2022-08-28 21:42:34,182,182,183
2022-09-02 21:43:32,182,182,185
2022-09-07 21:44:17,182,183,185
2022-09-12 21:44:46,182,183,185
2022-09-17 21:43:59,183,184,184
2022-09-22 21:44:42,183,184,186
2022-09-27 21:44:27,183,182,186
2022-10-02 21:44:08,183,187,186
2022-10-07 21:43:49,185,187,186
2022-10-12 21:44:14,187,186,186
2022-10-17 21:44:25,187,186,186
2022-10-22 21:43:10,186,186,185
2022-10-27 21:43:42,186,186,185
2022-11-01 21:44:17,186,186,185
2022-11-06 21:44:20,186,186,185
2022-11-11 21:44:05,186,186,185
2022-11-16 21:44:19,185,186,186
2022-11-21 21:44:07,185,185,186
2022-11-26 21:44:27,186,185,186
2022-12-01 21:42:36,185,185,186
2022-12-06 21:43:47,185,186,186
2022-12-11 21:44:32,185,186,186
2022-12-16 21:44:03,185,185,181
2022-12-21 21:43:24,181,180,181
2022-12-21 22:00:16,180,180,180
2022-12-31 21:43:57,179,179,180
2023-01-05 21:44:42,179,179,177
2023-01-10 21:44:16,177,177,178
2023-01-10 22:00:31,179,177,178
2023-01-20 21:43:39,177,177,178
2023-01-25 21:44:33,177,177,178
2023-01-30 21:44:32,177,177,175
2023-01-30 22:00:35,177,177,175
2023-02-09 21:44:10,177,178,175
2023-02-14 21:44:42,177,178,180
2023-02-19 21:44:32,178,183,178
2023-02-24 21:44:43,183,178,178
2023-03-01 21:44:28,182,177,156
2023-03-06 21:44:06,177,179,157
2023-03-11 21:44:00,182,178,157
2023-03-16 21:44:33,178,178,157
2023-03-21 21:44:26,156,156,138
2023-03-26 21:44:03,155,156,138
2023-03-31 21:44:39,156,157,126
2023-04-05 21:44:28,156,157,126
2023-04-10 21:44:01,157,143,111
2023-04-15 21:44:23,143,143,98
2023-04-20 21:44:03,126,126,88
2023-04-25 21:43:59,126,111,80
2023-04-30 21:43:46,111,98,80
2023-05-05 21:44:08,98,98,74
2023-05-10 21:43:54,98,87,74
2023-05-15 21:44:34,87,79,74
2023-05-20 21:43:20,87,72,74
2023-05-25 21:44:21,72,71,74
2023-05-30 21:44:35,67,70,74
2023-06-04 21:44:48,70,73,74
2023-06-09 21:43:40,80,80,74
2023-06-14 21:44:01,80,80,74
2023-06-19 21:43:55,80,80,74
2023-06-24 21:44:30,80,80,74
